gene,gene_symbol_clean,univariate_candidate_rank,univariate_candidate_source,in_univariate_candidate_set,dfi_univ_rank,dfi_univ_coef,dfi_univ_hr_per_sd,dfi_univ_p,dfi_univ_q,dfi_univ_c_index,os_univ_rank,os_univ_coef,os_univ_hr_per_sd,os_univ_p,os_univ_q,os_univ_c_index,dfi_full_conditional_selected,dfi_full_conditional_rank,dfi_full_conditional_coef,dfi_full_conditional_hr_per_sd,dfi_full_conditional_p,dfi_full_conditional_c_index,os_full_conditional_selected,os_full_conditional_rank,os_full_conditional_coef,os_full_conditional_hr_per_sd,os_full_conditional_p,os_full_conditional_c_index,dfi_true_mb_n_configs,dfi_true_mb_algorithms,dfi_true_mb_alphas,dfi_true_mb_mean_rank,os_true_mb_n_configs,os_true_mb_algorithms,os_true_mb_alphas,os_true_mb_mean_rank,nested_dfi_conditional_selected_folds,nested_dfi_conditional_selection_frequency,nested_dfi_conditional_mean_rank,nested_dfi_conditional_plus_clinical_selected_folds,nested_dfi_conditional_plus_clinical_selection_frequency,nested_dfi_conditional_plus_clinical_mean_rank,nested_dfi_elasticnet_selected_folds,nested_dfi_elasticnet_selection_frequency,nested_dfi_elasticnet_mean_rank,nested_dfi_gsmb_selected_folds,nested_dfi_gsmb_selection_frequency,nested_dfi_gsmb_mean_rank,nested_dfi_iamb_selected_folds,nested_dfi_iamb_selection_frequency,nested_dfi_iamb_mean_rank,nested_dfi_univtop10_selected_folds,nested_dfi_univtop10_selection_frequency,nested_dfi_univtop10_mean_rank,nested_os_conditional_selected_folds,nested_os_conditional_selection_frequency,nested_os_conditional_mean_rank,nested_os_conditional_plus_clinical_selected_folds,nested_os_conditional_plus_clinical_selection_frequency,nested_os_conditional_plus_clinical_mean_rank,nested_os_elasticnet_selected_folds,nested_os_elasticnet_selection_frequency,nested_os_elasticnet_mean_rank,nested_os_gsmb_selected_folds,nested_os_gsmb_selection_frequency,nested_os_gsmb_mean_rank,nested_os_iamb_selected_folds,nested_os_iamb_selection_frequency,nested_os_iamb_mean_rank,nested_os_univtop10_selected_folds,nested_os_univtop10_selection_frequency,nested_os_univtop10_mean_rank,nested_any_max_selection_frequency,nested_any_total_selected_folds,dfi_os_both_univariate_available,dfi_os_same_direction,dfi_os_both_nominal_p05,dfi_os_both_fdr_q10,combined_univ_rank_score,rna_evidence_priority_score,rna_evidence_tier
PAPSS2_3,PAPSS2,188.0,dfi_top400,True,188.0,-0.2870689336700879,0.7504599950922741,0.000638733994077,0.0169876062254531,0.5620264448076066,258.0,-0.2497334128858288,0.779008429001313,0.0043755701291274,0.0847978707195249,0.5609658591188934,True,3.0,-0.2871563866395312,0.7503943680069385,0.000638677010859,0.715346902391918,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,2,0.4,23.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.4,2,True,True,True,True,446.0,8.0,high_rna_evidence
ADORA2B_3,ADORA2B,104.0,dfi_top400,True,104.0,0.3212566424783331,1.3788594093841988,0.000239200599587,0.0112924120999221,0.59679096716684,629.0,0.2064980711215848,1.2293653629184624,0.0189424310765858,0.1503690475755542,0.5725593667546174,False,,,,,,False,,,,,,2,GSMB;IAMB,0.2,4.5,0,,,,0,0.0,,0,0.0,,2,0.4,12.5,1,0.2,2.0,3,0.6,4.666666666666667,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.6,6,True,True,True,False,733.0,7.0,medium_rna_evidence
CA14_3,CA14,78.0,dfi_top400,True,78.0,0.2956498462998336,1.3439994680433944,0.0001429040651323,0.0091552873887485,0.5906997474372307,33.0,0.2956650379315754,1.3440198857434629,0.0003044534497249,0.0452767743391759,0.5963860238266571,False,,,,,,False,,,,,,2,GSMB;IAMB,0.2,10.0,3,GSMB;IAMB,0.1;0.2,8.333333333333334,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,8.0,1,0.2,3.0,1,0.2,3.0,0,0.0,,2,0.4,3.5,0,0.0,,1,0.2,2.0,0.4,6,True,True,True,True,111.0,7.0,medium_rna_evidence
MEX3A_3,MEX3A,3.0,dfi_top400,True,3.0,0.4326216942666701,1.5412930304053278,2.2359260974687232e-06,0.0036783320728744,0.6169217055415243,27.0,0.3412688134749306,1.4067313383804023,0.0002556770373236,0.0452767743391759,0.6148556808187415,False,,,,,,False,,,,,,0,,,,0,,,,1,0.2,5.0,1,0.2,5.0,0,0.0,,0,0.0,,0,0.0,,3,0.6,6.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,10.0,0.6,6,True,True,True,True,30.0,6.0,medium_rna_evidence
NIBAN1_3,NIBAN1,22.0,dfi_top400,True,22.0,-0.364941136392291,0.6942375150000021,2.4612324688880648e-05,0.0055585881456757,0.6189273510622493,2.0,-0.4133358192547567,0.6614401211982928,1.1810928485304733e-05,0.0293538156944,0.6314064124090509,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,1.0,1,0.2,1.0,1,0.2,8.0,0,0.0,,0,0.0,,3,0.6,4.333333333333333,0.6,6,True,True,True,True,24.0,6.0,medium_rna_evidence
FAM107A_3,FAM107A,138.0,dfi_top400,True,138.0,-0.2705175613169351,0.7629845008659307,0.0003799293689895,0.0137655568474468,0.5909225969395335,50.0,-0.2892512127089711,0.7488240676497845,0.0005624143601273,0.0514285554615664,0.6011833373310946,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,2.0,1,0.2,2.0,3,0.6,10.333333333333334,0,0.0,,0,0.0,,0,0.0,,0.6,5,True,True,True,True,188.0,6.0,medium_rna_evidence
FGL2_3,FGL2,274.0,dfi_top400,True,274.0,-0.2807177196344105,0.7552414952387696,0.0012897537286048,0.0235356519818404,0.6100133709701382,14.0,-0.3719903844133848,0.6893608711015188,9.707759129237706e-05,0.034670568318706,0.6356440393379708,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,3,0.6,11.0,0,0.0,,0,0.0,,2,0.4,5.5,0.6,5,True,True,True,True,288.0,6.0,medium_rna_evidence
APOBEC3Z3_4,APOBEC3Z3,5.0,dfi_top400,True,5.0,-0.3961017042893044,0.6729382517502717,5.474185513269445e-06,0.0036783320728744,0.6372010102510771,99.0,-0.2913691856889607,0.7472397568636977,0.0012892347571633,0.0634546305609596,0.6075797553370113,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,2,0.4,4.5,0,0.0,,0,0.0,,2,0.4,8.5,0,0.0,,0,0.0,,1,0.2,4.0,0,0.0,,0,0.0,,0,0.0,,0.4,5,True,True,True,True,104.0,6.0,medium_rna_evidence
PTTG1_3,PTTG1,13.0,dfi_top400,True,13.0,0.3906611882431861,1.477957679135903,1.2617197627701542e-05,0.004622737668053,0.6103847868073095,46.0,0.3270856476198192,1.3869202585125808,0.0005135561776532,0.0514285554615664,0.5939074118493644,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,2,0.4,3.5,0,0.0,,2,0.4,2.0,2,0.4,3.5,0,0.0,,0,0.0,,0,0.0,,1,0.2,12.0,1,0.2,14.0,0,0.0,,0.4,8,True,True,True,True,59.0,6.0,medium_rna_evidence
ALOX5_3,ALOX5,23.0,dfi_top400,True,23.0,-0.360188798297179,0.6975446184021697,2.5569505470108588e-05,0.0055585881456757,0.6130589808349428,12.0,-0.3669610917335687,0.6928366015910601,7.244639586644178e-05,0.030185998277684,0.6200527704485488,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,2,0.4,5.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2,0.4,9.5,0,0.0,,0,0.0,,0,0.0,,0.4,4,True,True,True,True,35.0,6.0,medium_rna_evidence
CSRP1_3,CSRP1,64.0,dfi_top400,True,64.0,-0.3772607942704903,0.6857372142377116,0.0001146305813549,0.0087843154928808,0.5981280641806567,3.0,-0.4270081135839395,0.6524582584315778,2.843661135804618e-05,0.0293538156944,0.6282881586311665,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,2,0.4,9.0,0,0.0,,0,0.0,,0,0.0,,1,0.2,1.0,1,0.2,1.0,0,0.0,,0,0.0,,0,0.0,,2,0.4,4.5,0.4,6,True,True,True,True,67.0,6.0,medium_rna_evidence
RETSAT_3,RETSAT,167.0,dfi_top400,True,167.0,-0.2849594365528936,0.7520447592284989,0.0005184994889707,0.0153909321517959,0.598796612687565,283.0,-0.2536550928075224,0.7759593898719779,0.004976748498262,0.0879284186972097,0.5833533221396018,False,,,,,,False,,,,,,1,GSMB,0.2,3.0,1,IAMB,0.2,4.0,0,0.0,,0,0.0,,0,0.0,,1,0.2,8.0,1,0.2,9.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2,0.4,9.5,2,0.4,11.0,0,0.0,,0.4,6,True,True,True,True,450.0,6.0,medium_rna_evidence
PIANP_3,PIANP,229.0,dfi_top400,True,229.0,-0.2806606543434672,0.7552845945441534,0.0009544366570192,0.0206914080183735,0.5791858564849205,736.0,-0.1996864014720995,0.8189875460997462,0.024999301844677,0.1696665932085001,0.5468137842808027,True,7.0,-0.2439336654342765,0.7835396082986495,0.0087595709274172,0.715346902391918,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,2,0.4,3.5,0,0.0,,0,0.0,,0,0.0,,1,0.2,2.0,1,0.2,2.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.4,4,True,True,True,False,965.0,6.0,medium_rna_evidence
PHGDH_2,PHGDH,380.0,dfi_top400,True,380.0,0.2945347694602578,1.3425016406157135,0.0025485844269749,0.0334654485353363,0.5936710741346011,98.0,0.3235264551828767,1.3819927166544772,0.0012744107487604,0.0634546305609596,0.5923083073478852,False,,,,,,False,,,,,,0,,,,3,GSMB;IAMB,0.1;0.2,14.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,11.0,1,0.2,4.0,2,0.4,5.0,0,0.0,,0.4,4,True,True,True,True,478.0,6.0,medium_rna_evidence
TRIP13_3,TRIP13,4.0,dfi_top400,True,4.0,0.3857915839141921,1.4707781050534876,4.049608089204564e-06,0.0036783320728744,0.6246471549546873,26.0,0.3340598910253006,1.3966267864799553,0.0002519084849743,0.0452767743391759,0.6056608299352363,False,,,,,,False,,,,,,4,GSMB;IAMB,0.05;0.1;0.2,2.25,0,,,,0,0.0,,0,0.0,,1,0.2,1.0,0,0.0,,2,0.4,8.0,2,0.4,4.0,0,0.0,,0,0.0,,1,0.2,5.0,0,0.0,,1,0.2,3.0,1,0.2,8.0,0.4,8,True,True,True,True,30.0,5.0,medium_rna_evidence
PRRT4_3,PRRT4,31.0,dfi_top400,True,31.0,0.3131375960972917,1.3677097095992587,4.422759182299675e-05,0.0067446788096494,0.5993165948596049,1011.0,0.1595833258145191,1.1730220011622787,0.0461082507348368,0.2280328918636838,0.5573678739905653,False,,,,,,False,,,,,,3,GSMB;IAMB,0.1;0.2,14.666666666666666,0,,,,1,0.2,5.0,1,0.2,5.0,2,0.4,15.0,2,0.4,4.5,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.4,6,True,True,True,False,1042.0,5.0,medium_rna_evidence
RENBP_3,RENBP,228.0,dfi_top400,True,228.0,-0.2435019556066181,0.7838779430738807,0.0009534865712468,0.0206914080183735,0.5915168622790076,225.0,-0.2295826673137383,0.7948652565462146,0.0037754844700186,0.0837291957547359,0.5889501878947789,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,7.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,8.0,2,0.4,10.0,0,0.0,,0.4,4,True,True,True,True,453.0,5.0,medium_rna_evidence
MCM10_3,MCM10,27.0,dfi_top400,True,27.0,0.3863456874876802,1.471593294286082,3.3726814530880084e-05,0.0062457063946074,0.6173674045461298,180.0,0.2788304003657321,1.3215831848366286,0.0029236238942888,0.0811208319080179,0.5975053969776924,False,,,,,,False,,,,,,2,GSMB,0.1;0.2,9.0,0,,,,0,0.0,,0,0.0,,1,0.2,5.0,1,0.2,5.0,0,0.0,,1,0.2,5.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,3,True,True,True,True,207.0,5.0,medium_rna_evidence
HSP70_3,HSP70,169.0,dfi_top400,True,169.0,0.299434272469368,1.349095371254925,0.0005225341255817,0.0153909321517959,0.5957510028227604,245.0,0.2584824417856536,1.294963412408091,0.0041717666618501,0.0842142486875269,0.5847125609658591,False,,,,,,False,,,,,,3,GSMB;IAMB,0.1;0.2,5.333333333333333,0,,,,0,0.0,,0,0.0,,0,0.0,,1,0.2,8.0,1,0.2,10.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,2,True,True,True,True,414.0,5.0,medium_rna_evidence
TMEM178A_3,TMEM178A,258.0,dfi_top400,True,258.0,0.2977157230953183,1.3467788753255667,0.001120039524065,0.0216268920795677,0.5225820829000148,1664.0,0.1378044778443465,1.1477511175614503,0.1286794228245984,0.3864619436046934,0.5025585672023667,True,4.0,0.2447010381636787,1.2772394102810118,0.0113047945132725,0.715346902391918,False,,,,,,3,IAMB,0.05;0.1;0.2,1.3333333333333333,0,,,,0,0.0,,0,0.0,,0,0.0,,1,0.2,11.0,1,0.2,9.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,2,True,True,False,False,1922.0,5.0,medium_rna_evidence
LOC610632_3,LOC610632,431.0,os_top200,True,572.0,-0.2414440915098799,0.7854927182732562,0.0066218536365127,0.0578833359835032,0.5591665428613876,176.0,-0.2839158857734496,0.7528299657533517,0.0028506254556344,0.080575412564711,0.5682018069880866,False,,,,,,True,4.0,-0.2815057885296892,0.7546465473686947,0.0023744245541103,0.7008075477732469,0,,,,0,,,,0,0.0,,0,0.0,,1,0.2,18.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,1,True,True,True,True,748.0,5.0,medium_rna_evidence
GABRA2_3,GABRA2,403.0,os_top200,True,638.0,0.1996051068307945,1.220920529774738,0.0086567756793934,0.0678430695877229,0.5451641658000297,60.0,0.2686238902743448,1.3081630356690008,0.0006742564243517,0.0561880353626495,0.5608059486687456,False,,,,,,True,5.0,0.2196216384310015,1.2456053522218558,0.0085926469137563,0.7008075477732469,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,13.0,1,0.2,10.0,1,0.2,11.0,0,0.0,,0.2,3,True,True,True,True,698.0,5.0,medium_rna_evidence
H2AX_3,H2AX,241.0,dfi_top400,True,241.0,0.2750146798401129,1.316550001469288,0.0009986104445677,0.0206914080183735,0.5624721438122121,263.0,0.2494924077211074,1.2833738206868688,0.0045066289764689,0.0849459791984949,0.5740785160310227,False,,,,,,False,,,,,,0,,,,2,GSMB;IAMB,0.2,11.5,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,504.0,5.0,medium_rna_evidence
BTK_3,BTK,290.0,dfi_top400,True,290.0,-0.2557263903315317,0.7743538104993251,0.0014132443574082,0.0243662820242802,0.594488188976378,75.0,-0.2838919197848829,0.7528480082839063,0.0009328877213084,0.0621925147538959,0.6009434716558727,False,,,,,,False,,,,,,3,GSMB;IAMB,0.1;0.2,2.3333333333333335,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,365.0,5.0,medium_rna_evidence
LY96_3,LY96,322.0,dfi_top400,True,322.0,-0.2663338813144879,0.7661832705129648,0.0018574676718269,0.028842665711599,0.5885455355816372,187.0,-0.2772455394142865,0.757868387702823,0.0030701765470525,0.081716802379977,0.5807147997121612,False,,,,,,False,,,,,,0,,,,2,GSMB;IAMB,0.2,3.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,509.0,5.0,medium_rna_evidence
GPR34_3,GPR34,6.0,dfi_top400,True,6.0,-0.3917375419791128,0.6758814811997906,6.018807300834696e-06,0.0036783320728744,0.6275441984846234,4.0,-0.3917957210799062,0.6758421601668138,3.397354202076351e-05,0.0293538156944,0.631246501958903,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,1,0.2,6.0,0,0.0,,0,0.0,,2,0.4,5.5,0,0.0,,0,0.0,,1,0.2,2.0,0,0.0,,0,0.0,,1,0.2,2.0,0.4,5,True,True,True,True,10.0,4.0,exploratory_rna_evidence
DNA2_3,DNA2,7.0,dfi_top400,True,7.0,0.394110496674561,1.4830644133071682,6.485602747168385e-06,0.0036783320728744,0.6191502005645521,66.0,0.3058451515757174,1.357772041407553,0.0008004480858412,0.0600494722456207,0.6064603821859759,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,1,0.2,10.0,0,0.0,,0,0.0,,2,0.4,8.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.4,3,True,True,True,True,73.0,4.0,exploratory_rna_evidence
LOC477699_3,LOC477699,9.0,dfi_top400,True,9.0,-0.3684973544634283,0.6917730397065714,6.850632262394836e-06,0.0036783320728744,0.6055563809240826,145.0,-0.2780535630899124,0.7572562594429191,0.002220116025357,0.0756453002193586,0.5871112177180778,False,,,,,,False,,,,,,0,,,,0,,,,1,0.2,2.0,1,0.2,2.0,1,0.2,25.0,0,0.0,,0,0.0,,2,0.4,6.5,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.4,5,True,True,True,True,154.0,4.0,exploratory_rna_evidence
