variable_only_analysis_set,targeted_analysis_set,module_label,subspace_name,variable_only_median_capture,targeted_median_capture,variable_minus_targeted_capture,variable_to_targeted_capture_ratio,comparison_guardrail
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M11,all_retained,0.03711882737343157,0.0431210805317848,-0.006002253158353232,0.8608046671295971,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M11,gse39055_shared,0.003977241460208267,0.008806447301855,-0.004829205841646733,0.45162837224614927,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M11,partially_shared,0.028776494934637575,0.036860760790454,-0.008084265855816425,0.7806809820943782,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M11,shared_non_ffpe_only,0.028776494934637575,0.036860760790454,-0.008084265855816425,0.7806809820943782,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M11,shared_two_or_more,0.03507936508787097,0.0431210805317848,-0.008041715443913834,0.8135084894733507,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M11,ubiquitous_all_groups,0.003977241460208267,0.0074818732903039,-0.003504631830095633,0.5315836430112436,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M34,all_retained,0.34936906620993274,0.6201956809010909,-0.27082661469115815,0.5633207017861356,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M34,gse39055_shared,0.30210363311743194,0.5993621652754275,-0.2972585321579956,0.5040418808861666,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M34,partially_shared,0.03769390685746054,0.0735807084890914,-0.03588680163163086,0.5122797487475782,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M34,shared_non_ffpe_only,0.03769390685746054,0.0735807084890914,-0.03588680163163086,0.5122797487475782,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M34,shared_two_or_more,0.3483185702794604,0.6201956809010909,-0.2718771106216305,0.561626888103096,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M34,ubiquitous_all_groups,0.30210363311743194,0.5993621652754275,-0.2972585321579956,0.5040418808861666,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M40,all_retained,0.3220956157240501,0.624596310639023,-0.3025006949149729,0.5156860683254995,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M40,gse39055_shared,0.017234589320311754,0.0110938276997201,0.006140761620591654,1.5535295649802265,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M40,partially_shared,0.3136872143356677,0.6095698992284119,-0.29588268489274416,0.5146041737505906,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M40,shared_non_ffpe_only,0.3136872143356677,0.6095698992284119,-0.29588268489274416,0.5146041737505906,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M40,shared_two_or_more,0.31661981380773846,0.624596310639023,-0.30797649683128453,0.5069191226630934,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_variable_only_1500,four_cohort_core_plus_frozen,M40,ubiquitous_all_groups,0.017234589320311754,0.0110938276997201,0.006140761620591654,1.5535295649802265,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M11,all_retained,0.059464879211069514,0.116134167355013,-0.05666928814394349,0.5120360404297735,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M11,gse39055_shared,0.015703381847018243,0.0202843085970003,-0.004580926749982058,0.7741640180597776,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M11,partially_shared,0.03514304251913967,0.0920218087848371,-0.05687876626569743,0.3818990626592679,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M11,shared_non_ffpe_only,0.03514304251913967,0.0920218087848371,-0.05687876626569743,0.3818990626592679,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M11,shared_two_or_more,0.059464879211069514,0.1151454768008494,-0.05568059758977988,0.5164326108433889,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M11,ubiquitous_all_groups,0.015703381847018243,0.0202843085970003,-0.004580926749982058,0.7741640180597776,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M34,all_retained,0.33291216590144845,0.5235802618914179,-0.19066809598996948,0.6358378841456194,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M34,gse39055_shared,0.2757167611611261,0.4632744594181344,-0.1875576982570083,0.5951477694397876,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M34,partially_shared,0.035274156816787285,0.0417291358744306,-0.006454979057643313,0.8453124196708185,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M34,shared_non_ffpe_only,0.035274156816787285,0.0417291358744306,-0.006454979057643313,0.8453124196708185,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M34,shared_two_or_more,0.33291216590144845,0.5053071959380304,-0.17239503003658196,0.658831238853515,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M34,ubiquitous_all_groups,0.2757167611611261,0.4632744594181344,-0.1875576982570083,0.5951477694397876,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M40,all_retained,0.28595919931516695,0.4867205857762865,-0.20076138646111957,0.5875223026761469,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M40,gse39055_shared,0.2804550785411177,0.4630025907998739,-0.1825475122587562,0.6057311214103773,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M40,partially_shared,0.004698212479597067,0.0202665982548461,-0.015568385775249032,0.23182047724628094,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M40,shared_non_ffpe_only,0.004698212479597067,0.0202665982548461,-0.015568385775249032,0.23182047724628094,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M40,shared_two_or_more,0.28595919931516695,0.4828886829717864,-0.19692948365661944,0.5921845124953459,Descriptive only because feature spaces and natural module coverage differ.
four_cohort_detection_aware_variable_only_700,four_cohort_detection_aware,M40,ubiquitous_all_groups,0.2804550785411177,0.4630025907998739,-0.1825475122587562,0.6057311214103773,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M11,all_retained,0.03528301744099678,0.0804820191585559,-0.045199001717559126,0.43839627546479,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M11,partially_shared,0.008722899437817271,0.0008734775860293,0.00784942185178797,9.986403288801357,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M11,shared_non_ffpe_only,0.035100831428720634,0.0804820191585559,-0.04538118772983527,0.4361325895610203,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M11,shared_two_or_more,0.035100831428720634,0.0804820191585559,-0.04538118772983527,0.4361325895610203,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M11,ubiquitous_all_groups,0.03494239914947678,0.0793130062954534,-0.044370607145976626,0.4405632919689219,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M34,all_retained,0.3184396209291741,0.6167826363298136,-0.29834301540063946,0.5162914812648749,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M34,partially_shared,0.012321843743540452,0.0292357329939911,-0.016913889250450648,0.4214651893993215,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M34,shared_non_ffpe_only,0.31593501695071474,0.6167826363298136,-0.3008476193790988,0.512230724961223,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M34,shared_two_or_more,0.31593501695071474,0.6167826363298136,-0.3008476193790988,0.512230724961223,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M34,ubiquitous_all_groups,0.3130890026819735,0.6019499649205723,-0.2888609622385988,0.5201246298324576,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M40,all_retained,0.33841314262255734,0.6587492570943695,-0.32033611447181215,0.5137207199522925,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M40,partially_shared,0.007381055584455301,0.0038583977523718,0.0035226578320835013,1.9129846268229045,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M40,shared_non_ffpe_only,0.3267122775319514,0.6587492570943695,-0.33203697956241807,0.4959584758744526,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M40,shared_two_or_more,0.3267122775319514,0.6587492570943695,-0.33203697956241807,0.4959584758744526,Descriptive only because feature spaces and natural module coverage differ.
three_cohort_no_ffpe_variable_only_1500,three_cohort_no_ffpe,M40,ubiquitous_all_groups,0.3264793322359663,0.6587492570943695,-0.3322699248584032,0.4956048583280548,Descriptive only because feature spaces and natural module coverage differ.
