gene,canine_proliferation_gene,dog_symbol_key,human_gene_symbol,ortholog_qc_status
BUB1_3,BUB1_3,BUB1,BUB1,strict_symbol_concordant_one_to_one
DLGAP5_3,DLGAP5_3,DLGAP5,DLGAP5,strict_symbol_concordant_one_to_one
KIF23_3,KIF23_3,KIF23,KIF23,strict_symbol_concordant_one_to_one
TOP2A_3,TOP2A_3,TOP2A,TOP2A,strict_symbol_concordant_one_to_one
CDC20_3,CDC20_3,CDC20,CDC20,strict_symbol_concordant_one_to_one
KIF11_3,KIF11_3,KIF11,KIF11,strict_symbol_concordant_one_to_one
CDC6_3,CDC6_3,CDC6,CDC6,strict_symbol_concordant_one_to_one
MYBL2_3,MYBL2_3,MYBL2,MYBL2,strict_symbol_concordant_one_to_one
SPAG5_3,SPAG5_3,SPAG5,SPAG5,strict_symbol_concordant_one_to_one
CCNA2_3,CCNA2_3,CCNA2,CCNA2,strict_symbol_concordant_one_to_one
PLK1_3,PLK1_3,PLK1,PLK1,strict_symbol_concordant_one_to_one
BUB1B_3,BUB1B_3,BUB1B,BUB1B,strict_symbol_concordant_one_to_one
KIF18B_3,KIF18B_3,KIF18B,KIF18B,strict_symbol_concordant_one_to_one
CENPA_3,CENPA_3,CENPA,CENPA,strict_symbol_concordant_one_to_one
TK1_3,TK1_3,TK1,TK1,strict_symbol_concordant_one_to_one
CENPF_3,CENPF_3,CENPF,CENPF,strict_symbol_concordant_one_to_one
MELK_3,MELK_3,MELK,MELK,strict_symbol_concordant_one_to_one
CDK1_3,CDK1_3,CDK1,CDK1,strict_symbol_concordant_one_to_one
MCM2_3,MCM2_3,MCM2,MCM2,strict_symbol_concordant_one_to_one
MCM5_3,MCM5_3,MCM5,MCM5,strict_symbol_concordant_one_to_one
PLK4_3,PLK4_3,PLK4,PLK4,strict_symbol_concordant_one_to_one
KIF15_3,KIF15_3,KIF15,KIF15,strict_symbol_concordant_one_to_one
RRM2_3,RRM2_3,RRM2,RRM2,strict_symbol_concordant_one_to_one
TYMS_3,TYMS_3,TYMS,TYMS,strict_symbol_concordant_one_to_one
UBE2S_3,UBE2S_3,UBE2S,UBE2S,strict_symbol_concordant_one_to_one
CENPK_3,CENPK_3,CENPK,CENPK,strict_symbol_concordant_one_to_one
CENPE_3,CENPE_3,CENPE,CENPE,strict_symbol_concordant_one_to_one
TPX2_3,TPX2_3,TPX2,TPX2,strict_symbol_concordant_one_to_one
CDCA8_3,CDCA8_3,CDCA8,CDCA8,strict_symbol_concordant_one_to_one
KIF22_3,KIF22_3,KIF22,KIF22,strict_symbol_concordant_one_to_one
NCAPG_3,NCAPG_3,NCAPG,NCAPG,strict_symbol_concordant_one_to_one
DSN1_3,DSN1_3,DSN1,DSN1,strict_symbol_concordant_one_to_one
ORC1_3,ORC1_3,ORC1,ORC1,strict_symbol_concordant_one_to_one
CDC45_3,CDC45_3,CDC45,CDC45,strict_symbol_concordant_one_to_one
GTSE1_3,GTSE1_3,GTSE1,GTSE1,strict_symbol_concordant_one_to_one
KIFC1_3,KIFC1_3,KIFC1,KIFC1,strict_symbol_concordant_one_to_one
DEPDC1_3,DEPDC1_3,DEPDC1,DEPDC1,strict_symbol_concordant_one_to_one
NDC80_3,NDC80_3,NDC80,NDC80,strict_symbol_concordant_one_to_one
SGO1_3,SGO1_3,SGO1,SGO1,strict_symbol_concordant_one_to_one
KIF20A_3,KIF20A_3,KIF20A,KIF20A,strict_symbol_concordant_one_to_one
KIF4A_3,KIF4A_3,KIF4A,KIF4A,strict_symbol_concordant_one_to_one
CLSPN_3,CLSPN_3,CLSPN,CLSPN,strict_symbol_concordant_one_to_one
NEK2_3,NEK2_3,NEK2,NEK2,strict_symbol_concordant_one_to_one
KIF14_3,KIF14_3,KIF14,KIF14,strict_symbol_concordant_one_to_one
RACGAP1_3,RACGAP1_3,RACGAP1,RACGAP1,strict_symbol_concordant_one_to_one
TTK_3,TTK_3,TTK,TTK,strict_symbol_concordant_one_to_one
CENPT_3,CENPT_3,CENPT,CENPT,strict_symbol_concordant_one_to_one
POLE_3,POLE_3,POLE,POLE,strict_symbol_concordant_one_to_one
ECT2_3,ECT2_3,ECT2,ECT2,strict_symbol_concordant_one_to_one
FANCM_3,FANCM_3,FANCM,FANCM,strict_symbol_concordant_one_to_one
HJURP_3,HJURP_3,HJURP,HJURP,strict_symbol_concordant_one_to_one
CENPI_3,CENPI_3,CENPI,CENPI,strict_symbol_concordant_one_to_one
FANCD2_3,FANCD2_3,FANCD2,FANCD2,strict_symbol_concordant_one_to_one
UBE2T_3,UBE2T_3,UBE2T,UBE2T,strict_symbol_concordant_one_to_one
DTL_3,DTL_3,DTL,DTL,strict_symbol_concordant_one_to_one
ASPM_3,ASPM_3,ASPM,ASPM,strict_symbol_concordant_one_to_one
CDCA2_3,CDCA2_3,CDCA2,CDCA2,strict_symbol_concordant_one_to_one
PRC1_3,PRC1_3,PRC1,PRC1,strict_symbol_concordant_one_to_one
MTFR2_3,MTFR2_3,MTFR2,MTFR2,strict_symbol_concordant_one_to_one
PKMYT1_3,PKMYT1_3,PKMYT1,PKMYT1,strict_symbol_concordant_one_to_one
UHRF1_3,UHRF1_3,UHRF1,UHRF1,strict_symbol_concordant_one_to_one
MIS18A_3,MIS18A_3,MIS18A,MIS18A,strict_symbol_concordant_one_to_one
RAD51_3,RAD51_3,RAD51,RAD51,strict_symbol_concordant_one_to_one
DNA2_3,DNA2_3,DNA2,DNA2,strict_symbol_concordant_one_to_one
CDCA3_3,CDCA3_3,CDCA3,CDCA3,strict_symbol_concordant_one_to_one
ORC6_3,ORC6_3,ORC6,ORC6,strict_symbol_concordant_one_to_one
DEPDC1B_3,DEPDC1B_3,DEPDC1B,DEPDC1B,strict_symbol_concordant_one_to_one
REXO5_3,REXO5_3,REXO5,REXO5,strict_symbol_concordant_one_to_one
FOXM1_3,FOXM1_3,FOXM1,FOXM1,strict_symbol_concordant_one_to_one
CCNB3_3,CCNB3_3,CCNB3,CCNB3,strict_symbol_concordant_one_to_one
SPC25_3,SPC25_3,SPC25,SPC25,strict_symbol_concordant_one_to_one
PCLAF_3,PCLAF_3,PCLAF,PCLAF,strict_symbol_concordant_one_to_one
ESPL1_3,ESPL1_3,ESPL1,ESPL1,strict_symbol_concordant_one_to_one
MCM3_3,MCM3_3,MCM3,MCM3,strict_symbol_concordant_one_to_one
HELLS_3,HELLS_3,HELLS,HELLS,strict_symbol_concordant_one_to_one
ESCO2_3,ESCO2_3,ESCO2,ESCO2,strict_symbol_concordant_one_to_one
ERCC6L_3,ERCC6L_3,ERCC6L,ERCC6L,strict_symbol_concordant_one_to_one
NUF2_3,NUF2_3,NUF2,NUF2,strict_symbol_concordant_one_to_one
E2F8_3,E2F8_3,E2F8,E2F8,strict_symbol_concordant_one_to_one
E2F1_3,E2F1_3,E2F1,E2F1,strict_symbol_concordant_one_to_one
FANCI_3,FANCI_3,FANCI,FANCI,strict_symbol_concordant_one_to_one
TACC3_3,TACC3_3,TACC3,TACC3,strict_symbol_concordant_one_to_one
RAD54L_3,RAD54L_3,RAD54L,RAD54L,strict_symbol_concordant_one_to_one
FAM83D_3,FAM83D_3,FAM83D,FAM83D,strict_symbol_concordant_one_to_one
RAD51AP1_3,RAD51AP1_3,RAD51AP1,RAD51AP1,strict_symbol_concordant_one_to_one
CENPN_3,CENPN_3,CENPN,CENPN,strict_symbol_concordant_one_to_one
BRCA1_3,BRCA1_3,BRCA1,BRCA1,strict_symbol_concordant_one_to_one
SKA3_3,SKA3_3,SKA3,SKA3,strict_symbol_concordant_one_to_one
POLE2_3,POLE2_3,POLE2,POLE2,strict_symbol_concordant_one_to_one
DCK_3,DCK_3,DCK,DCK,strict_symbol_concordant_one_to_one
TRIP13_3,TRIP13_3,TRIP13,TRIP13,strict_symbol_concordant_one_to_one
PRR11_3,PRR11_3,PRR11,PRR11,strict_symbol_concordant_one_to_one
IQGAP3_3,IQGAP3_3,IQGAP3,IQGAP3,strict_symbol_concordant_one_to_one
KNL1_3,KNL1_3,KNL1,KNL1,strict_symbol_concordant_one_to_one
NCAPD2_3,NCAPD2_3,NCAPD2,NCAPD2,strict_symbol_concordant_one_to_one
NMRAL1_3,NMRAL1_3,NMRAL1,NMRAL1,strict_symbol_concordant_one_to_one
LMNB1_3,LMNB1_3,LMNB1,LMNB1,strict_symbol_concordant_one_to_one
CEP55_3,CEP55_3,CEP55,CEP55,strict_symbol_concordant_one_to_one
TONSL_3,TONSL_3,TONSL,TONSL,strict_symbol_concordant_one_to_one
POLQ_3,POLQ_3,POLQ,POLQ,strict_symbol_concordant_one_to_one
PARPBP_3,PARPBP_3,PARPBP,PARPBP,strict_symbol_concordant_one_to_one
E2F7_3,E2F7_3,E2F7,E2F7,strict_symbol_concordant_one_to_one
RECQL4_3,RECQL4_3,RECQL4,RECQL4,strict_symbol_concordant_one_to_one
ANLN_3,ANLN_3,ANLN,ANLN,strict_symbol_concordant_one_to_one
HMMR_3,HMMR_3,HMMR,HMMR,strict_symbol_concordant_one_to_one
KIF24_3,KIF24_3,KIF24,KIF24,strict_symbol_concordant_one_to_one
FANCA_3,FANCA_3,FANCA,FANCA,strict_symbol_concordant_one_to_one
DNPH1_3,DNPH1_3,DNPH1,DNPH1,strict_symbol_concordant_one_to_one
GINS4_3,GINS4_3,GINS4,GINS4,strict_symbol_concordant_one_to_one
SPC24_3,SPC24_3,SPC24,SPC24,strict_symbol_concordant_one_to_one
CENPQ_3,CENPQ_3,CENPQ,CENPQ,strict_symbol_concordant_one_to_one
